t,share_N,share_E,share_F,W,C_ext,run_id,fee_multiple
5,0.0,0.72,0.28,1339.3094130011225,26.427125169932182,26,0.5
6,0.0,0.69,0.31,1438.8562683371572,30.040538277381206,26,0.5
7,0.0,0.665,0.335,1521.0376769709635,32.88888148651192,26,0.5
8,0.0,0.64,0.36,1594.7923321285546,35.35938278078545,26,0.5
9,0.0,0.605,0.395,1642.1881737452184,37.05747804313435,26,0.5
10,0.0,0.585,0.415,1709.0594737842414,39.809446973369965,26,0.5
11,0.0,0.55,0.45,1769.5727905748279,42.923439799332726,26,0.5
12,0.0,0.52,0.48,1810.2372203646023,45.70712318694271,26,0.5
13,0.0,0.495,0.505,1827.5421031651092,47.23834354987419,26,0.5
14,0.0,0.465,0.535,1844.8267420266184,49.28090965398903,26,0.5
15,0.0,0.445,0.555,1850.7884265821667,50.24864403970995,26,0.5
